Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Topic,SDG Goal,Include,Region,Income group,Num_Valid_Years,Completeness_Score
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,98.97309875,98.96687317,98.95305634,98.93401337,98.91207886,98.88961029,98.86901093,98.85293579,99.30000305,98.84518433,98.8589325,98.88803101,98.7646637,99.0022049,99.08701324,99.18666077,99.35025024,99.63549042,99.69783783,99.5,99.80413055,Environment: Energy production & use,7,True,Middle East & North Africa,Upper middle income,21,0.6774193548387096
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,27.8012,26.0506,24.3,22.4138,20.5276,18.6414,16.7552,14.869,13.8312,12.7934,11.7556,10.7178,9.68,9.6814,9.6828,9.6842,9.6856,9.687,10.0608,10.4346,10.8084,11.1822,11.556,11.259,10.962,10.665,10.368,10.071,9.8338,9.5966,9.3594,Health: Reproductive health,3,True,Middle East & North Africa,Upper middle income,31,1.0
Algeria,DZA,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,,,,,,,,,,5190.842507,5043.745453,5515.753663,5217.022146,5918.453795,6104.165019,6434.304946,7148.041263,7977.769351,7984.558379,10302.97602,11543.21772,13922.1627,14894.54542,15431.46036,16612.7111,17553.60319,17400.38529,17663.25326,18584.91395,19430.2508,,Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added,2,True,Middle East & North Africa,Upper middle income,21,0.6774193548387096
Algeria,DZA,"Air transport, passengers carried",IS.AIR.PSGR,3748000.0,3385000.0,3551100.0,3254500.0,3241000.0,3477800.0,3494100.0,3517700.0,3381800.0,2936800.0,2997480.0,3419249.0,3002232.0,3292815.0,3236364.0,3037298.0,2899722.0,2813018.0,2884506.0,4370917.0,3372283.0,3543663.0,4082595.0,4492436.963,5021288.963,5400896.0,6093416.0,6230157.0,6442442.0,6752002.0,1460077.0,Infrastructure: Transportation,9,True,Middle East & North Africa,Upper middle income,31,1.0
Algeria,DZA,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,90196.24219,79702.0,95273.91406,101899.9688,135409.8594,105878.6641,81995.79688,91585.39844,92337.0,102399.0,113159.8984,133628.0,134324.7969,140959.0,113464.2031,126260.2969,145763.7969,147363.125,138862.4375,127777.0,93464.0,101815.0,105621.0,101057.0,97828.0,95946.0,100180.0,104100.0,115255.0,,,Environment: Agricultural production,14,True,Middle East & North Africa,Upper middle income,29,0.9354838709677419
Algeria,DZA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,687.7,1114.6,943.3,741.7,749.4,829.5,1337.8,779.8,846.3,1069.9,883.3,1106.9,1058.6,1470.3,1344.1,1500.8,1503.7,1253.5,1034.0,1653.9,1474.3,1643.3,1677.6,1813.1,1369.2,1400.2,1020.4,990.3,1758.8,,,Environment: Agricultural production,2,True,Middle East & North Africa,Upper middle income,29,0.9354838709677419
Algeria,DZA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.353665052,0.365450694,0.353156415,0.380742458,0.383407478,0.375694251,0.352924701,0.335548165,0.316645344,0.314154895,0.305647416,0.285131394,0.27854361,0.272711091,0.258386091,0.2489969,0.251677443,0.243977856,0.245151918,0.249589479,0.24232133,0.244054196,0.271308637,0.279163242,0.291898358,0.327364646,0.328628557,0.325935691,0.329184759,0.331242733,,Environment: Emissions,13,True,Middle East & North Africa,Upper middle income,30,0.967741935483871
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.443429976,2.516243273,2.472960779,2.613303742,2.609009067,2.658062574,2.600933527,2.502439231,2.472447856,2.531070515,2.578744484,2.50067461,2.586712195,2.733373662,2.737354064,2.841351373,2.966914681,3.007289846,3.102451083,3.174573294,3.173654529,3.294742583,3.609307651,3.644979345,3.795632251,3.933495912,3.820090337,3.825637988,3.920109085,3.977650459,,Environment: Emissions,13,True,Middle East & North Africa,Upper middle income,30,0.967741935483871
Algeria,DZA,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Environment: Natural resources contribution to GDP,12,True,Middle East & North Africa,Upper middle income,31,1.0
Algeria,DZA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,,,,,,,,,,,,,,,4.73,4.72,4.95,5.06,5.24,5.17,5.06,5.18,5.23,5.22,5.21,5.26,5.25,5.22,5.22,5.24,5.26,Financial Sector: Access,8,True,Middle East & North Africa,Upper middle income,17,0.5483870967741935
Algeria,DZA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,,7.510000229,7.489999771,7.5,7.5,7.429999828,7.320000172,7.260000229,7.139999866,6.989999771,6.670000076,6.199999809,6.739999771,7.239999771,6.239999771,5.309999943,4.599999905,3.960000038,3.420000076,2.970000029,2.539999962,2.180000067,2.529999971,2.930000067,2.789999962,2.670000076,2.539999962,2.420000076,2.369999886,2.309999943,,Social Protection & Labor: Economic activity,5,True,Middle East & North Africa,Upper middle income,29,0.9354838709677419
Algeria,DZA,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,,10.06000042,10.01000023,10.02999973,10.02999973,9.920000076,9.760000229,9.680000305,9.449999809,9.260000229,9.06000042,8.840000153,8.050000191,7.25,6.210000038,5.260000229,4.550000191,3.890000105,3.339999914,2.880000114,2.450000048,2.089999914,2.029999971,1.970000029,1.940000057,1.899999976,1.870000005,1.830000043,1.799999952,1.779999971,,Social Protection & Labor: Economic activity,8,True,Middle East & North Africa,Upper middle income,29,0.9354838709677419
Algeria,DZA,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,8.9575,18.4729,21.8361,23.3454,35.0585,47.6627,54.7489,57.7073,58.739,66.5739,75.2598,77.215,79.6819,77.395,72.0606,73.2763,72.6466,69.2924,64.5828,72.6474,74.386,72.9379,77.536,79.3684,80.579,100.6914,109.4431,110.973,116.5938,119.3536,126.7768,Financial Sector: Exchange rates & prices,17,True,Middle East & North Africa,Upper middle income,31,1.0
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,24.87999916,24.72999954,24.55999947,24.36000061,24.12999916,23.87000084,23.54000092,23.18000031,22.85000038,22.34000015,21.70999908,21.71999931,21.71999931,20.10000038,18.54000092,17.05999947,15.63000011,14.32999992,13.02999973,11.86999989,10.77000046,10.68999958,10.59000015,10.48999977,10.38000011,10.27999973,10.15999985,9.880000114,9.600000381,,Social Protection & Labor: Economic activity,8,True,Middle East & North Africa,Upper middle income,29,0.9354838709677419
Algeria,DZA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,25.39999962,25.26000023,25.03000069,24.81999969,24.81999969,24.78000069,24.70000076,24.77000046,24.67000008,24.89999962,25.01000023,24.79999924,24.69000053,25.63999939,26.76000023,27.52000046,28.37999916,28.88999939,29.56999969,30.20000076,30.86000061,30.80999947,30.95999908,30.95999908,30.92000008,30.95000076,30.98999977,30.90999985,30.42000008,,Social Protection & Labor: Economic activity,8,True,Middle East & North Africa,Upper middle income,29,0.9354838709677419
